id,text,source,:LABEL
0,"Extruder blob
=============

The blob (mass of plastic accumulated around the hotend) is one of the most scary-looking printing problems you might face with your 3D printer.",../data/mk4s_manuel/Extruder_blob.md,Sentence
1,"Removing it after it happens is quite tricky, though not impossible.",../data/mk4s_manuel/Extruder_blob.md,Sentence
2,We prepared a short video on how to remove an extruder blob.,../data/mk4s_manuel/Extruder_blob.md,Sentence
3,"The video features our Original Prusa MK3, but the same principles of heating the filament blob in order to soften it and carefully removing it with pliers apply to all our FDM printer models.",../data/mk4s_manuel/Extruder_blob.md,Sentence
4,1. Preheat the nozzle in the _LCD Menu -> Settings/Control -> Temperature -> Nozzle_.,../data/mk4s_manuel/Extruder_blob.md,Sentence
5,The temperature needs to be approximately 30°C higher than the temperature at which the blob has formed.,../data/mk4s_manuel/Extruder_blob.md,Sentence
6,"For example, if the blob is made of:
   
   * PLA: preheat to 250°C
   * ABS/PETG: preheat to 280°C

2.",../data/mk4s_manuel/Extruder_blob.md,Sentence
7,"If MINTEMP or Preheat error message appears on the LCD, it means the thermistor or the heater cable (respectively) is already broken.",../data/mk4s_manuel/Extruder_blob.md,Sentence
8,"In this case, your only option is to use a heat gun to heat the plastic.",../data/mk4s_manuel/Extruder_blob.md,Sentence
9,"Work very carefully, you don't want to melt the printed parts surrounding the hotend.",../data/mk4s_manuel/Extruder_blob.md,Sentence
10,"Clear the blob little by little.

3.",../data/mk4s_manuel/Extruder_blob.md,Sentence
11,"After the hotend reaches the right temperature, leave it this way for at least 5 minutes.",../data/mk4s_manuel/Extruder_blob.md,Sentence
12,"_Turn the printer off before the next step, or you might cause an electrical short.",../data/mk4s_manuel/Extruder_blob.md,Sentence
13,"_

4.",../data/mk4s_manuel/Extruder_blob.md,Sentence
14,Smaller blobs will start to fall off by themselves.,../data/mk4s_manuel/Extruder_blob.md,Sentence
15,"As for the bigger ones, use a pair of pliers to remove the now soft plastic mass from the hotend carefully.",../data/mk4s_manuel/Extruder_blob.md,Sentence
16,"Again, be very cautious around the leads coming from the hot end, in particular, the thermistor leads.",../data/mk4s_manuel/Extruder_blob.md,Sentence
17,5.,../data/mk4s_manuel/Extruder_blob.md,Sentence
18,"Once the big chunks of the amassed plastic are removed, use a small brass brush to get rid of what's left (as shown in the video above).",../data/mk4s_manuel/Extruder_blob.md,Sentence
19,6.,../data/mk4s_manuel/Extruder_blob.md,Sentence
20,"In case you do not succeed, as well as in case the blob has damaged some of the extruder parts, you can find your spare parts here.",../data/mk4s_manuel/Extruder_blob.md,Sentence
21,"To see the spare parts section, you have to be logged into the account you used to purchase the printer.",../data/mk4s_manuel/Extruder_blob.md,Sentence
22,"How to prevent this problem from happening

Unlike the Spaghetti monster issue, the blob issue often occurs early during the print.",../data/mk4s_manuel/Extruder_blob.md,Sentence
23,"In general, the blob forms if the first layer detaches from the print surface and sticks to the moving hot nozzle while it keeps extruding, causing the blob to grow.",../data/mk4s_manuel/Extruder_blob.md,Sentence
24,"In order to prevent this situation from happening, bear in mind these simple rules:

*",../data/mk4s_manuel/Extruder_blob.md,Sentence
25,Always make sure to clean the print surface before starting the print.,../data/mk4s_manuel/Extruder_blob.md,Sentence
26,See First layer issues for more details.,../data/mk4s_manuel/Extruder_blob.md,Sentence
27,* Take the time to adjust the first layer height at the beginning of the print.,../data/mk4s_manuel/Extruder_blob.md,Sentence
28,Make sure that the first layer is sticking properly to the entire print surface.,../data/mk4s_manuel/Extruder_blob.md,Sentence
29,* Check the print every now and then.,../data/mk4s_manuel/Extruder_blob.md,Sentence
30,"If you observe any potential problem, pause the print and give yourself the time to solve it.",../data/mk4s_manuel/Extruder_blob.md,Sentence
31,"As a last resort, you can always stop the print, adjust the settings, and start again.",../data/mk4s_manuel/Extruder_blob.md,Sentence
32,"Silicone sock

Consider installing a silicone sock.",../data/mk4s_manuel/Extruder_blob.md,Sentence
33,"This is available in our shop for MK4/S, MK3.9/S, and XL.",../data/mk4s_manuel/Extruder_blob.md,Sentence
34,"Although the component does not prevent extruder blobs, in case this occurs, it makes it easier to remove it.",../data/mk4s_manuel/Extruder_blob.md,Sentence
35,"Preheat error
=============

The Preheat error message occurs when there is a problem with the preheat process before your print starts.",../data/mk4s_manuel/Preheat_error.md,Sentence
36,"Therefore, there is something preventing the printer from heating up in proper time.",../data/mk4s_manuel/Preheat_error.md,Sentence
37,Make sure to distinguish between the Preheat error and the Bed preheat error.,../data/mk4s_manuel/Preheat_error.md,Sentence
38,*,../data/mk4s_manuel/Preheat_error.md,Sentence
39,Preheat error - a problem with preheating the hotend.,../data/mk4s_manuel/Preheat_error.md,Sentence
40,* Bed preheat error - a problem with preheating the heatbed.,../data/mk4s_manuel/Preheat_error.md,Sentence
41,"Troubleshooting

Preheat error

1.",../data/mk4s_manuel/Preheat_error.md,Sentence
42,"Make sure that the ambient temperature is stable and there is nothing cooling the printer down, such as a nearby air-conditioning unit or an open window.",../data/mk4s_manuel/Preheat_error.md,Sentence
43,2. Make sure the thermistor and heater are properly plugged into the electronics board.,../data/mk4s_manuel/Preheat_error.md,Sentence
44,"You can doublecheck that by following these guides: Mini RAMBo electronics wiring (MK2S, MK2.5, MK2.5S) or Einsy RAMBo electronics wiring (MK3/MK3S/MK3S+).",../data/mk4s_manuel/Preheat_error.md,Sentence
45,3. Check if the fuses are not blown.,../data/mk4s_manuel/Preheat_error.md,Sentence
46,4. Make sure that your hotend assembly is correct.,../data/mk4s_manuel/Preheat_error.md,Sentence
47,5.,../data/mk4s_manuel/Preheat_error.md,Sentence
48,"If the issue persists, then there is something wrong with your printer's thermistor or heater.",../data/mk4s_manuel/Preheat_error.md,Sentence
49,"In order to find out which one of these two is malfunctioning, perform the simple test described below.",../data/mk4s_manuel/Preheat_error.md,Sentence
50,"Bed preheat error

1.",../data/mk4s_manuel/Preheat_error.md,Sentence
51,"Make sure that the ambient temperature is stable and there is cooling down the printer, such as a nearby air-conditioning unit or an open window.",../data/mk4s_manuel/Preheat_error.md,Sentence
52,2. Make sure the heatbed thermistor is properly seated under the heated bed and secured with the golden Kapton tape.,../data/mk4s_manuel/Preheat_error.md,Sentence
53,"If not, then simply put it back and make sure that the thermistor cable has some space for movement.",../data/mk4s_manuel/Preheat_error.md,Sentence
54,3. Make sure that the thermistor and heatbed are correctly plugged into the electronics board.,../data/mk4s_manuel/Preheat_error.md,Sentence
55,"You can doublecheck that by following these guides: Mini RAMBo electronics wiring (MK2S, MK2.5, MK2.5S) RAMBo electronics wiring (MK3/MK3S/MK3S+).",../data/mk4s_manuel/Preheat_error.md,Sentence
56,4.  Check if the fuses are not blown.,../data/mk4s_manuel/Preheat_error.md,Sentence
57,5.,../data/mk4s_manuel/Preheat_error.md,Sentence
58,"If the issue persists, there is something wrong with your printer's thermistor or heater.",../data/mk4s_manuel/Preheat_error.md,Sentence
59,"In order to find out which one of these two is malfunctioning, perform the simple test described below.",../data/mk4s_manuel/Preheat_error.md,Sentence
60,"Testing the thermistor and heater

It is not very common, but there is a chance that only the thermistor is defective.",../data/mk4s_manuel/Preheat_error.md,Sentence
61,You can check it using the following test:,../data/mk4s_manuel/Preheat_error.md,Sentence
62,1. Use a hairdryer to blow hot air at the heatbed or hotend.,../data/mk4s_manuel/Preheat_error.md,Sentence
63,2.,../data/mk4s_manuel/Preheat_error.md,Sentence
64,"In the meantime, check if there is any temperature change on the LCD screen.",../data/mk4s_manuel/Preheat_error.md,Sentence
65,3.,../data/mk4s_manuel/Preheat_error.md,Sentence
66,If there is a positive temperature change it means that the heatbed or hotend thermistor is working.,../data/mk4s_manuel/Preheat_error.md,Sentence
67,Which means there is something wrong with the heater or heatbed.,../data/mk4s_manuel/Preheat_error.md,Sentence
68,In both cases contact our support and they will provide assistance.,../data/mk4s_manuel/Preheat_error.md,Sentence
69,4.,../data/mk4s_manuel/Preheat_error.md,Sentence
70,"If there is no change at all, the hotend or heatbed thermistor is defective.",../data/mk4s_manuel/Preheat_error.md,Sentence
71,"First layer issues
==================

This is by far the most common 3D printing problem, and probably the first one you may encounter.",../data/mk4s_manuel/First_layer_issues.md,Sentence
72,The first layer is the essential one because it is the base of the printed object.,../data/mk4s_manuel/First_layer_issues.md,Sentence
73,"Therefore, if it isn’t perfect, the chance of print failure increases.",../data/mk4s_manuel/First_layer_issues.md,Sentence
74,Many common 3D printing problems stem from a poor first layer.,../data/mk4s_manuel/First_layer_issues.md,Sentence
75,"There are a couple of things that can go wrong when printing your first layer, so let’s take a look at what can be done to avoid these problems.",../data/mk4s_manuel/First_layer_issues.md,Sentence
76,The print surface should be regularly maintained to achieve optimal printing quality and minimize the chance of failed prints.,../data/mk4s_manuel/First_layer_issues.md,Sentence
77,"It's an easy procedure, so let's take a look at our tips and recommendations.",../data/mk4s_manuel/First_layer_issues.md,Sentence
78,"How to prepare your print surface

If you don't touch the print surface with your hands or dirty tools, then you don't have to clean it before every print.",../data/mk4s_manuel/First_layer_issues.md,Sentence
79,"Clean your tools the same way you would the bed, and you will be able to start your next print right away.",../data/mk4s_manuel/First_layer_issues.md,Sentence
80,"Isopropyl alcohol - smooth, satin, textured sheets

To achieve the best adhesion of the print surface, it is vital to keep it clean.",../data/mk4s_manuel/First_layer_issues.md,Sentence
81,"The best option when printing with ABS, PLA, and many other materials is 90% Isopropyl alcohol, which can usually be sourced locally at drugstores or hardware stores.",../data/mk4s_manuel/First_layer_issues.md,Sentence
82,Denatured alcohol is also an option.,../data/mk4s_manuel/First_layer_issues.md,Sentence
83,We recommend always using 90% IPA.,../data/mk4s_manuel/First_layer_issues.md,Sentence
84,Solutions with lower percentages may contain unsuitable chemicals and oils.,../data/mk4s_manuel/First_layer_issues.md,Sentence
85,"PETG, ABS, ASA, XT, and CPH filaments are an exception - the adhesion may be too strong, and you can damage your Smooth PEI sheet.",../data/mk4s_manuel/First_layer_issues.md,Sentence
86,We recommend using a separating agent (e.g. a glue stick).,../data/mk4s_manuel/First_layer_issues.md,Sentence
87,"For more information on how to print with these materials, check out our Material guides.",../data/mk4s_manuel/First_layer_issues.md,Sentence
88,"Dish soap and water

If the adhesion seems to decrease over time even when using IPA, you can clean the steel sheet with a few drops of dish soap and warm water (not hot!).",../data/mk4s_manuel/First_layer_issues.md,Sentence
89,"This should not be done often, and do not submerge the sheet completely in hot water, but it will dissolve some oils and sugars that gather over time and that IPA does not remove.",../data/mk4s_manuel/First_layer_issues.md,Sentence
90,Make sure to use only dish soap and dry the sheet well before using it.,../data/mk4s_manuel/First_layer_issues.md,Sentence
91,"Acetone

PEI can lose its adhesive powers after a couple of hundred hours.",../data/mk4s_manuel/First_layer_issues.md,Sentence
92,"When you see models coming loose regularly, wipe the surface thoroughly with acetone to restore the adhesion.",../data/mk4s_manuel/First_layer_issues.md,Sentence
93,This should only be used in the smooth PEI sheet and only around once per month.,../data/mk4s_manuel/First_layer_issues.md,Sentence
94,Do not overuse acetone.,../data/mk4s_manuel/First_layer_issues.md,Sentence
95,Extended use makes PEI surface brittle.,../data/mk4s_manuel/First_layer_issues.md,Sentence
96,"Also, do not use acetone before printing with PETG.",../data/mk4s_manuel/First_layer_issues.md,Sentence
97,"Glue

Glue is a great, easy-to-use tool to increase adhesion.",../data/mk4s_manuel/First_layer_issues.md,Sentence
98,It also creates a protective separation layer.,../data/mk4s_manuel/First_layer_issues.md,Sentence
99,No need for glue specially made for 3D printing.,../data/mk4s_manuel/First_layer_issues.md,Sentence
100,You can use a basic (PVA-based) glue stick.,../data/mk4s_manuel/First_layer_issues.md,Sentence
101,"From our experience, it is not needed when printing PLA, but may it be advisable when printing:

* Polyamide (Nylon)
* PETG
*",../data/mk4s_manuel/First_layer_issues.md,Sentence
102,"Polycarbonate (PC)
* PET-based materials
* ABS
* ASA
*",../data/mk4s_manuel/First_layer_issues.md,Sentence
103,"Other more exotic materials
* Flexible materials

Other types of glue should not be used as a substitute.",../data/mk4s_manuel/First_layer_issues.md,Sentence
104,Don't put Superglue on your sheet!,../data/mk4s_manuel/First_layer_issues.md,Sentence
105,"When removing prints with a large surface area, you may have to assist the process using a spatula.",../data/mk4s_manuel/First_layer_issues.md,Sentence
106,Be gentle when flexing the sheet and removing the print as the smooth PEI foil can tear.,../data/mk4s_manuel/First_layer_issues.md,Sentence
107,"Resurface it

It can happen that you will leave some small marks on the print surface with your nozzle or tools.",../data/mk4s_manuel/First_layer_issues.md,Sentence
108,"Typically, they will be shinier than the rest of the pad.",../data/mk4s_manuel/First_layer_issues.md,Sentence
109,It does not affect functionality or adhesion.,../data/mk4s_manuel/First_layer_issues.md,Sentence
110,"However, if you want to have the same surface look on the whole print bed, you can resurface it.",../data/mk4s_manuel/First_layer_issues.md,Sentence
